relName,CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,loc,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,bug,bugDensity,type
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/BooleanArrayGetAtMetaMethod.java,0,4,63,2,0,1,1,10,1,4,0,0,1,6,15,2,6,8,18,0,0,4,6,16,8,6,18,40,10,0.38,8,28,2,18,0,6,2,75,6,0,6,1,5,2.8333333333333304,0,5,2.5,1,2,1.33333333333333,1,1,0.555555555555556,0,3,3,1,46,42,1.0,1.0,0,1,1,0,0,0.0,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/BooleanArrayPutAtMetaMethod.java,0,6,83,4,0,1,3,17,2,6,0,0,2,7,15,2,7,12,23,0,0,5,7,30,12,9,23,59,19,0.25,9,42,4,28,0,7,2,83,6,0,6,1,5,3.28571428571429,1,6,3.4285714285714306,1,4,1.7142857142857095,1,3,1.2,0,3,3,1,48,19,1.0,1.0,0,1,1,0,1,0.0169491525423728,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/ByteArrayGetAtMetaMethod.java,0,4,63,2,0,1,1,10,1,4,0,0,1,6,15,2,6,8,18,0,0,4,6,16,8,6,18,40,10,0.38,8,28,2,18,0,6,2,75,6,0,6,1,5,2.8333333333333304,0,5,2.5,1,2,1.33333333333333,1,1,0.555555555555556,0,3,3,1,48,44,1.0,1.0,0,1,1,0,0,0.0,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/ByteArrayPutAtMetaMethod.java,0,7,89,4,0,1,3,18,2,7,0,0,2,7,15,2,7,13,25,0,0,5,7,35,13,9,25,65,21,0.23,9,46,4,31,0,7,3,83,6,0,6,1,5,3.28571428571429,1,6,3.4285714285714306,1,4,1.85714285714286,1,3,1.3,0,3,3,1,48,19,1.0,1.0,0,1,1,0,1,0.0153846153846153,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/CharacterArrayGetAtMetaMethod.java,0,4,48,2,0,1,1,10,1,4,0,0,1,6,0,2,6,8,18,0,0,4,6,16,8,6,18,40,10,0.0,8,28,2,18,0,6,2,75,6,0,6,1,5,2.8333333333333304,0,5,2.5,1,2,1.33333333333333,1,1,0.555555555555556,0,3,3,1,33,44,1.0,1.0,0,1,1,0,0,0.0,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/CharacterArrayPutAtMetaMethod.java,0,6,83,4,0,1,3,17,2,6,0,0,2,7,15,2,7,12,23,0,0,5,7,30,12,9,23,59,19,0.25,9,42,4,28,0,7,2,83,6,0,6,1,5,3.28571428571429,1,6,3.4285714285714306,1,4,1.7142857142857095,1,3,1.2,0,3,3,1,48,19,1.0,1.0,0,1,1,0,1,0.0508474576271186,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/DoubleArrayGetAtMetaMethod.java,0,4,48,2,0,1,1,10,1,4,0,0,1,6,0,2,6,8,18,0,0,4,6,16,8,6,18,40,10,0.0,8,28,2,18,0,6,2,75,6,0,6,1,5,2.8333333333333304,0,5,2.5,1,2,1.33333333333333,1,1,0.555555555555556,0,3,3,1,33,44,1.0,1.0,0,1,1,0,0,0.0,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/DoubleArrayPutAtMetaMethod.java,0,7,89,4,0,1,3,18,2,7,0,0,2,7,15,2,7,13,25,0,0,5,7,35,13,9,25,65,21,0.23,9,46,4,31,0,7,3,83,6,0,6,1,5,3.28571428571429,1,6,3.4285714285714306,1,4,1.85714285714286,1,3,1.3,0,3,3,1,48,19,1.0,1.0,0,1,1,0,1,0.0153846153846153,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/FloatArrayGetAtMetaMethod.java,0,4,63,2,0,1,1,10,1,4,0,0,1,6,15,2,6,8,18,0,0,4,6,16,8,6,18,40,10,0.38,8,28,2,18,0,6,2,75,6,0,6,1,5,2.8333333333333304,0,5,2.5,1,2,1.33333333333333,1,1,0.555555555555556,0,3,3,1,48,44,1.0,1.0,0,1,1,0,0,0.0,NON
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays/FloatArrayPutAtMetaMethod.java,0,7,89,4,0,1,3,18,2,7,0,0,2,7,15,2,7,13,25,0,0,5,7,35,13,9,25,65,21,0.23,9,46,4,31,0,7,3,83,6,0,6,1,5,3.28571428571429,1,6,3.4285714285714306,1,4,1.85714285714286,1,3,1.3,0,3,3,1,48,19,1.0,1.0,0,1,1,0,1,0.0153846153846153,NON
