className,loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.xml.serialize.OutputFormat,579,46,1,0,13,61,833,11,2,46,0.903703704,1.0,1,0.0,0.220496894,0,0,11.19565217,12,1.6522,0,0.0,NON
org.apache.xerces.validators.dtd.DTDGrammar,1225,41,2,0,11,75,280,2,9,35,0.903947368,1.0,10,0.487179487,0.306620209,1,7,28.41463415,3,1.1951,0,0.0,NON
javax.xml.parsers.SAXParser,254,17,1,1,0,37,136,0,0,16,2.0,0.0,0,0.0,0.308823529,0,0,13.94117647,1,0.9412,0,0.0,NON
org.apache.xerces.framework.Version,14,3,1,0,0,5,1,0,0,2,0.5,0.0,0,0.0,0.5,0,0,3.333333333,1,0.3333,1,0.3571428571428571,NON
org.apache.html.dom.HTMLTitleElementImpl,60,3,4,0,2,14,3,1,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,19.0,3,1.6667,0,0.0,IL
org.apache.html.dom.HTMLButtonElementImpl,97,12,4,0,3,22,66,0,3,12,2.0,0.0,0,0.895238095,0.316666667,1,1,7.083333333,3,1.25,0,0.0,IL
org.apache.xerces.dom.ParentNode,1240,32,3,7,16,77,236,8,11,14,0.650537634,0.833333333,3,0.625,0.180555556,2,25,37.5625,11,2.3438,0,0.0,NON
javax.xml.parsers.DocumentBuilderFactory,325,20,1,1,0,47,152,0,0,16,0.915789474,0.9,0,0.0,0.3552631579999999,0,0,14.75,10,1.4,1,0.0061538461538461,NON
org.apache.xerces.validators.datatype.BooleanDatatypeValidator,228,10,2,0,7,29,37,1,6,6,0.6984126979999999,1.0,3,0.363636364,0.2638888889999999,0,0,21.1,1,0.7,0,0.0,NON
org.apache.html.dom.HTMLDListElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.validators.schema.SubstitutionGroupComparator,167,3,1,0,10,13,0,5,5,2,0.166666667,1.0,2,0.0,0.5,0,0,53.66666667,1,0.3333,1,0.0059880239520958,NON
org.apache.xerces.dom.DocumentTypeImpl,200,15,4,1,9,27,57,6,4,14,0.8214285709999999,0.875,3,0.858695652,0.3833333329999999,2,8,11.8,2,1.5333,0,0.0,NON
org.apache.xerces.validators.schema.identity.Unique,8,2,2,0,4,3,1,3,1,2,2.0,0.0,0,0.8888888890000001,0.75,0,0,3.0,1,0.5,0,0.0,NON
org.apache.html.dom.HTMLMetaElementImpl,50,9,4,0,2,12,36,0,2,9,2.0,0.0,0,0.921568627,0.5555555560000001,0,0,4.555555556,1,0.8889,0,0.0,IL
org.apache.html.dom.HTMLFieldSetElementImpl,6,1,4,0,3,2,0,0,3,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,0,0.0,IL
org.apache.xerces.dom.EntityReferenceImpl,115,10,4,1,6,29,43,3,4,9,0.944444444,0.5,0,0.897727273,0.325,2,8,10.3,6,1.5,1,0.008695652173913,NON
org.apache.xerces.dom.ElementImpl,665,29,4,4,17,75,80,12,9,24,0.738095238,0.666666667,1,0.745283019,0.3379310339999999,2,13,21.82758621,11,2.7931,1,0.0015037593984962,NON
org.apache.xerces.dom.TextImpl,88,6,3,2,9,21,15,7,3,6,1.2,0.0,0,0.915254237,0.333333333,1,4,13.5,2,1.1667,0,0.0,NON
