relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
src/plugin/subcollection/src/java/org/apache/nutch/collection/CollectionManager.java,2.54545454545455,5,4.74472636486846,6.0390256320198095,4,1.4373989364401698,28,11.0909090909091,4,4,1,10,11,11,11,3,8,11,128,93,1,0,1,0,0,0,11,0,0,1,0,0,1,0.152777777777778,0.0,0,0,0,4,4,4,33,0,33,0,0.0,NON
src/plugin/subcollection/src/java/org/apache/nutch/collection/Subcollection.java,1.46666666666667,5,4.22341582409495,5.28601384490852,12,1.08730042868667,22,5.466666666666669,14,14,0,15,15,15,15,1,14,15,98,74,1,0,1,0,0,0,15,0,0,1,0,0,1,0.15625,0.0,0,0,0,0,14,2,0,0,0,0,0.0,NON
src/java/org/apache/nutch/crawl/Crawl.java,6.66666666666667,18,3.6818808028034,5.78300125627735,2,8.01387685344754,20,33.0,1,1,2,1,3,3,3,1,2,2,103,88,1,0,1,0,0,0,3,0,0,1,0,0,1,0.125,0.0,0,0,0,11,1,1,57,0,57,0,0.0,NON
src/java/org/apache/nutch/crawl/CrawlDatum.java,2.20588235294118,13,6.45477894653188,6.07094126619194,19,2.58706524355194,75,7.117647058823531,42,42,4,30,34,34,34,1,33,26,348,295,0,0,0,0,0,0,34,0,0,0,0,0,0,0.0,0.0,0,0,0,4,6,3,8,0,8,0,0.0,NON
src/java/org/apache/nutch/crawl/CrawlDb.java,3.25,9,4.689456210458308,6.17960513944723,4,2.9474565306379,26,17.125,5,5,3,5,8,8,8,0,8,19,144,125,1,0,1,0,0,0,8,0,0,1,0,0,1,0.148148148148148,0.0,0,0,0,8,5,2,20,0,20,0,0.0,NON
src/java/org/apache/nutch/plugin/PluginDescriptor.java,1.3703703703703702,5,5.18685049109964,6.3112752795750096,23,0.986882414405499,37,5.1851851851851904,15,15,0,27,27,27,27,8,19,25,157,112,0,0,0,0,0,0,27,0,0,0,0,0,0,0.0,0.0,0,0,0,5,15,6,7,0,7,0,0.0,NON
src/java/org/apache/nutch/plugin/PluginManifestParser.java,4.1,10,4.97484936758693,6.50334215869334,3,3.04795013082563,41,17.9,7,7,0,10,10,10,10,7,3,21,189,145,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,4,6,4,33,0,33,0,0.0,NON
src/java/org/apache/nutch/crawl/CrawlDbReader.java,5.888888888888888,19,6.0456994639672805,6.242387944791582,2,5.8584117006507,53,26.88888888888889,2,2,1,8,9,9,9,2,7,24,444,381,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,11,2,2,12,0,12,0,0.0,NON
src/java/org/apache/nutch/protocol/Content.java,1.72222222222222,6,4.74096271064121,5.9112705819246605,13,1.4455124256953,31,9.33333333333333,9,9,2,16,18,18,18,2,16,18,179,141,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0.0,0,0,0,3,6,3,27,0,27,0,0.0,NON
src/java/org/apache/nutch/crawl/Generator.java,3.77777777777778,13,7.09505298540295,6.46045121128615,5,4.685148587179559,34,22.88888888888889,18,18,2,7,9,9,9,1,8,33,506,398,1,0,1,0,0,0,9,0,0,1,0,0,1,0.15,0.0,0,0,0,16,18,3,28,0,28,1,0.0019762845849802,NON
src/java/org/apache/nutch/crawl/LinkDb.java,4.16666666666667,15,5.27297033425775,6.581309917987268,5,4.19986772278472,50,18.3333333333333,8,8,3,9,12,12,12,2,10,34,230,186,1,0,1,0,0,0,12,0,0,1,0,0,1,0.153846153846154,0.0,0,0,0,13,6,4,57,0,57,0,0.0,NON
src/plugin/protocol-file/src/java/org/apache/nutch/protocol/file/FileResponse.java,4.25,14,4.96810415073919,5.94051676546038,3,4.205650960315181,34,17.25,10,10,0,8,8,8,8,3,5,12,150,112,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,9,7,6,41,0,41,0,0.0,NON
src/java/org/apache/nutch/crawl/LinkDbReader.java,2.22222222222222,7,4.98823367096246,6.03302580074217,4,1.81216738114445,20,9.888888888888893,5,5,1,8,9,9,9,0,9,10,96,73,1,0,1,0,0,0,9,0,0,1,0,0,1,0.15,0.0,0,0,0,5,5,5,9,0,9,0,0.0,NON
src/java/org/apache/nutch/crawl/MapWritable.java,3.0,9,5.737311562538952,5.94352056143043,6,1.83303027798234,75,12.76,10,10,1,24,25,25,25,7,18,24,381,288,0,0,0,0,0,0,25,0,0,0,0,0,0,0.0,0.0,0,0,0,7,8,4,15,0,15,0,0.0,NON
src/java/org/apache/nutch/crawl/NutchWritable.java,1.0,1,4.31054541504811,2.72192809488736,3,0.0,3,2.3333333333333304,2,1,0,3,3,6,3,1,2,1,37,8,2,1,2,0,0,0,3,3,0,2,1,1,1,0.166666666666667,0.0,0,0,0,13,1,1,0,0,0,0,0.0,NON
src/plugin/protocol-ftp/src/java/org/apache/nutch/protocol/ftp/FtpResponse.java,9.375,43,4.70149641829268,5.832891565861268,3,13.2753295627642,75,36.25,8,8,0,8,8,8,8,3,5,21,300,206,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,14,5,4,78,0,78,0,0.0,NON
src/java/org/apache/nutch/fetcher/Fetcher.java,3.30769230769231,18,7.56840360193403,6.718932693192032,9,4.61410238599041,43,15.4615384615385,18,18,3,10,13,13,13,3,10,16,1010,774,1,0,1,0,0,0,13,0,0,1,0,0,1,0.154761904761905,0.0,0,0,0,12,14,8,23,0,23,0,0.0,NON
src/plugin/protocol-http/src/java/org/apache/nutch/protocol/http/Http.java,1.0,1,4.24330036853896,4.30910131613147,4,0.0,4,3.75,17,1,1,3,4,22,4,1,3,5,18,12,1,0,1,2,2,0,2,18,2,1,0,0,1,0.144444444444444,0.0909090909090909,1,1,0,5,1,1,12,7,5,0,0.0,NON
src/plugin/protocol-http/src/java/org/apache/nutch/protocol/http/HttpResponse.java,4.8461538461538485,16,4.808985545926404,6.34669221616964,6,4.73686286718174,63,21.2307692307692,7,7,2,11,13,13,13,7,6,20,285,214,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,8,5,4,36,0,36,1,0.0035087719298245,NON
src/java/org/apache/nutch/fetcher/OldFetcher.java,2.0833333333333304,7,6.98846397542535,6.32996887122113,9,2.2157893000513904,25,9.5,17,17,3,9,12,12,12,2,10,14,409,293,1,0,1,0,0,0,12,0,0,1,0,0,1,0.153846153846154,0.0,0,0,0,9,7,5,8,0,8,0,0.0,NON
