model,dataset,file,BB,CB,BB,BC
autogluon_best_f1,ECLIPSE-2007,eclipse-2.0.csv_eclipse-2.1.csv,1,4,1991,42
autogluon_best_f1,ECLIPSE-2007,eclipse-2.1.csv_eclipse-3.0.csv,0,2,1976,61
autogluon_best_f1,IND-JLMIV+R-2020,ant-ivy-1.4.1.csv_ant-ivy-2.0.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,ant-ivy-2.0.0.csv_ant-ivy-2.1.0.csv,13,3,270,7
autogluon_best_f1,IND-JLMIV+R-2020,ant-ivy-2.1.0.csv_ant-ivy-2.2.0.csv,5,3,268,4
autogluon_best_f1,IND-JLMIV+R-2020,ant-ivy-2.2.0.csv_ant-ivy-2.3.0.csv,1,11,272,1
autogluon_best_f1,IND-JLMIV+R-2020,ant-ivy-2.3.0.csv_ant-ivy-2.4.0.csv,0,0,296,3
autogluon_best_f1,IND-JLMIV+R-2020,archiva-1.0.csv_archiva-1.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,archiva-1.1.csv_archiva-1.2.csv,1,2,194,3
autogluon_best_f1,IND-JLMIV+R-2020,archiva-1.2.csv_archiva-1.3.csv,3,2,358,5
autogluon_best_f1,IND-JLMIV+R-2020,archiva-1.3.csv_archiva-2.0.0.csv,0,0,5,0
autogluon_best_f1,IND-JLMIV+R-2020,archiva-2.0.0.csv_archiva-2.1.0.csv,0,0,192,1
autogluon_best_f1,IND-JLMIV+R-2020,archiva-2.1.0.csv_archiva-2.2.0.csv,0,0,337,0
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.0.0.csv_calcite-1.1.0.csv,65,0,801,3
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.1.0.csv_calcite-1.10.0.csv,5,3,447,0
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.10.0.csv_calcite-1.11.0.csv,8,12,1033,35
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.11.0.csv_calcite-1.12.0.csv,9,14,995,17
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.12.0.csv_calcite-1.13.0.csv,4,4,1045,18
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.13.0.csv_calcite-1.14.0.csv,2,1,982,15
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.14.0.csv_calcite-1.15.0.csv,8,9,1055,15
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.15.0.csv_calcite-1.2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.2.0.csv_calcite-1.3.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.3.0.csv_calcite-1.4.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.4.0.csv_calcite-1.5.0.csv,34,0,814,16
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.5.0.csv_calcite-1.6.0.csv,28,2,822,25
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.6.0.csv_calcite-1.7.0.csv,48,0,818,21
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.7.0.csv_calcite-1.8.0.csv,39,3,991,26
autogluon_best_f1,IND-JLMIV+R-2020,calcite-1.8.0.csv_calcite-1.9.0.csv,25,9,1064,26
autogluon_best_f1,IND-JLMIV+R-2020,cayenne-3.0.0.csv_cayenne-3.1.0.csv,0,0,479,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-bcel-5.2.csv_commons-bcel-6.0.csv,0,0,5,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-bcel-6.0.csv_commons-bcel-6.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-bcel-6.1.csv_commons-bcel-6.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-beanutils-1.7.0.csv_commons-beanutils-1.8.0.csv,0,0,15,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-beanutils-1.8.0.csv_commons-beanutils-1.9.0.csv,0,0,9,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.10.csv_commons-codec-1.11.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.2.csv_commons-codec-1.3.csv,0,0,9,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.3.csv_commons-codec-1.4.csv,0,0,6,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.5.csv_commons-codec-1.6.csv,0,0,26,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.6.csv_commons-codec-1.7.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.7.csv_commons-codec-1.8.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-codec-1.8.csv_commons-codec-1.9.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-1.0.csv_commons-collections-2.0.csv,0,0,12,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-2.0.csv_commons-collections-2.1.csv,1,0,15,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-2.1.csv_commons-collections-3.0.csv,0,0,10,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-3.0.csv_commons-collections-3.1.csv,1,8,85,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-3.1.csv_commons-collections-3.2.csv,2,1,169,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-3.2.csv_commons-collections-3.3.csv,0,0,231,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-3.3.csv_commons-collections-4.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-collections-4.0.csv_commons-collections-4.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.0.csv_commons-compress-1.1.csv,1,1,25,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.1.csv_commons-compress-1.10.csv,0,0,14,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.10.csv_commons-compress-1.11.csv,4,4,129,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.11.csv_commons-compress-1.12.csv,0,0,28,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.12.csv_commons-compress-1.13.csv,5,0,101,4
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.13.csv_commons-compress-1.14.csv,3,0,138,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.14.csv_commons-compress-1.15.csv,2,0,172,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.15.csv_commons-compress-1.16.csv,0,0,150,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.16.csv_commons-compress-1.2.csv,0,0,2,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.2.csv_commons-compress-1.3.csv,0,0,26,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.3.csv_commons-compress-1.4.csv,3,0,59,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.4.csv_commons-compress-1.5.csv,0,0,60,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.5.csv_commons-compress-1.6.csv,4,0,70,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.6.csv_commons-compress-1.7.csv,3,2,69,5
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.7.csv_commons-compress-1.8.csv,12,0,100,5
autogluon_best_f1,IND-JLMIV+R-2020,commons-compress-1.8.csv_commons-compress-1.9.csv,11,1,96,3
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.0.csv_commons-configuration-1.1.csv,0,0,12,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.1.csv_commons-configuration-1.10.csv,0,0,4,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.10.csv_commons-configuration-1.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.2.csv_commons-configuration-1.3.csv,3,2,19,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.3.csv_commons-configuration-1.4.csv,3,2,50,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.4.csv_commons-configuration-1.5.csv,0,1,61,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.5.csv_commons-configuration-1.6.csv,2,1,67,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.6.csv_commons-configuration-1.7.csv,1,0,64,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.7.csv_commons-configuration-1.8.csv,0,0,25,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.8.csv_commons-configuration-1.9.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-1.9.csv_commons-configuration-2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-2.0.csv_commons-configuration-2.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-configuration-2.1.csv_commons-configuration-2.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-1.0.csv_commons-dbcp-1.1.csv,0,0,5,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-1.1.csv_commons-dbcp-1.2.csv,1,0,14,4
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-1.2.csv_commons-dbcp-1.3.csv,0,0,8,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-1.3.csv_commons-dbcp-1.4.csv,3,0,37,3
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-1.4.csv_commons-dbcp-2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-2.0.csv_commons-dbcp-2.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-2.1.csv_commons-dbcp-2.2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-2.2.0.csv_commons-dbcp-2.3.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-2.3.0.csv_commons-dbcp-2.4.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-dbcp-2.4.0.csv_commons-dbcp-2.5.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-1.4.csv_commons-digester-1.5.csv,1,0,13,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-1.5.csv_commons-digester-1.6.csv,0,3,18,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-1.6.csv_commons-digester-1.7.csv,0,0,48,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-1.7.csv_commons-digester-1.8.csv,1,4,52,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-1.8.csv_commons-digester-2.0.csv,0,21,2,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-3.0.csv_commons-digester-3.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-digester-3.1.csv_commons-digester-3.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-1.0.csv_commons-io-1.1.csv,2,0,14,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-1.1.csv_commons-io-1.2.csv,0,0,29,5
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-1.2.csv_commons-io-1.3.csv,1,0,20,3
