model,dataset,mode,file,context_switch_effort,sloc_effort
AG(F),ECLIPSE-2007,noDup,eclipse-2.0.csv_diffToPreviousRelease_eclipse-2.1.csv,14.23931624,41.04467991
AG(F),ECLIPSE-2007,original,eclipse-2.0.csv_eclipse-2.1.csv,10.62373225,37.53127522
AG(F),ECLIPSE-2007,noDup,eclipse-2.1.csv_diffToPreviousRelease_eclipse-3.0.csv,7.937806874,33.32809425
AG(F),ECLIPSE-2007,original,eclipse-2.1.csv_eclipse-3.0.csv,6.428773718,31.74281802
AG(F),IND-JLMIV+R-2020,original,ant-ivy-1.4.1.csv_ant-ivy-2.0.0.csv,0.568181818,4.165915781
AG(F),IND-JLMIV+R-2020,noDup,ant-ivy-1.4.1.csv_diffToPreviousRelease_ant-ivy-2.0.0.csv,0.568181818,4.165915781
AG(F),IND-JLMIV+R-2020,original,ant-ivy-2.0.0.csv_ant-ivy-2.1.0.csv,14.00560224,54.34150639
AG(F),IND-JLMIV+R-2020,noDup,ant-ivy-2.0.0.csv_diffToPreviousRelease_ant-ivy-2.1.0.csv,53.125,83.66445916
AG(F),IND-JLMIV+R-2020,original,ant-ivy-2.1.0.csv_ant-ivy-2.2.0.csv,12.9476584,51.29467032
AG(F),IND-JLMIV+R-2020,noDup,ant-ivy-2.1.0.csv_diffToPreviousRelease_ant-ivy-2.2.0.csv,46.98795181,74.80535511
AG(F),IND-JLMIV+R-2020,original,ant-ivy-2.2.0.csv_ant-ivy-2.3.0.csv,13.08203991,51.00038784
AG(F),IND-JLMIV+R-2020,noDup,ant-ivy-2.2.0.csv_diffToPreviousRelease_ant-ivy-2.3.0.csv,28.31325301,66.6395011
AG(F),IND-JLMIV+R-2020,original,ant-ivy-2.3.0.csv_ant-ivy-2.4.0.csv,1.898734177,14.23898109
AG(F),IND-JLMIV+R-2020,noDup,ant-ivy-2.3.0.csv_diffToPreviousRelease_ant-ivy-2.4.0.csv,5.142857143,21.81496208
AG(F),IND-JLMIV+R-2020,original,archiva-1.0.csv_archiva-1.1.csv,0,0
AG(F),IND-JLMIV+R-2020,noDup,archiva-1.0.csv_diffToPreviousRelease_archiva-1.1.csv,0,0
AG(F),IND-JLMIV+R-2020,original,archiva-1.1.csv_archiva-1.2.csv,7.621247113,29.65763005
AG(F),IND-JLMIV+R-2020,noDup,archiva-1.1.csv_diffToPreviousRelease_archiva-1.2.csv,12.87553648,35.46489643
AG(F),IND-JLMIV+R-2020,original,archiva-1.2.csv_archiva-1.3.csv,4.377880184,19.67043952
AG(F),IND-JLMIV+R-2020,noDup,archiva-1.2.csv_diffToPreviousRelease_archiva-1.3.csv,21.21212121,42.00954353
AG(F),IND-JLMIV+R-2020,original,archiva-1.3.csv_archiva-2.0.0.csv,0.238095238,2.579632122
AG(F),IND-JLMIV+R-2020,noDup,archiva-1.3.csv_diffToPreviousRelease_archiva-2.0.0.csv,0.240963855,2.594765343
AG(F),IND-JLMIV+R-2020,original,archiva-2.0.0.csv_archiva-2.1.0.csv,0,0
AG(F),IND-JLMIV+R-2020,noDup,archiva-2.0.0.csv_diffToPreviousRelease_archiva-2.1.0.csv,0,0
AG(F),IND-JLMIV+R-2020,original,archiva-2.1.0.csv_archiva-2.2.0.csv,0.717703349,6.515104179
AG(F),IND-JLMIV+R-2020,noDup,archiva-2.1.0.csv_diffToPreviousRelease_archiva-2.2.0.csv,3.703703704,13.90042558
AG(F),IND-JLMIV+R-2020,original,calcite-1.0.0.csv_calcite-1.1.0.csv,13.59927471,37.47663628
AG(F),IND-JLMIV+R-2020,noDup,calcite-1.0.0.csv_diffToPreviousRelease_calcite-1.1.0.csv,36.32478632,70.73262132
AG(F),IND-JLMIV+R-2020,original,calcite-1.1.0.csv_calcite-1.10.0.csv,8.091603053,40.81977783
AG(F),IND-JLMIV+R-2020,noDup,calcite-1.1.0.csv_diffToPreviousRelease_calcite-1.10.0.csv,11.4619883,44.14321599
AG(F),IND-JLMIV+R-2020,original,calcite-1.10.0.csv_calcite-1.11.0.csv,4.808414726,24.57992024
AG(F),IND-JLMIV+R-2020,noDup,calcite-1.10.0.csv_diffToPreviousRelease_calcite-1.11.0.csv,18.10699588,33.64955091
AG(F),IND-JLMIV+R-2020,original,calcite-1.11.0.csv_calcite-1.12.0.csv,7.067137809,34.10725835
AG(F),IND-JLMIV+R-2020,noDup,calcite-1.11.0.csv_diffToPreviousRelease_calcite-1.12.0.csv,20.26315789,42.28351136
AG(F),IND-JLMIV+R-2020,original,calcite-1.12.0.csv_calcite-1.13.0.csv,4.62745098,34.3837454
