old,new,isSame
list.Main,list.Main,False
list.ListFile,list.ListFile,False
filter.ccimpl.CCFilterTest,filter.ccimpl.CCFilterTest,True
filter.AbstractTestFilter,filter.AbstractTestFilter,True
filter.IFilter,filter.IFilter,True
filter.ccimpl.CCFilter,filter.ccimpl.CCFilter,True
example.Hello,example.Hello,False
console.Main,console.Main,False
example.ConfigurationsExample,example.ConfigurationsExample,False
find.Main,find.Main,False
find.FindFile,find.FindFile,False
filter.hmimpl.HMFilterTest,filter.hmimpl.HMFilterTest,True
filter.hmimpl.HMFilter,filter.hmimpl.HMFilter,True
filter.ccimpl.CCFilter.filter.(Anon_1),filter.ccimpl.CCFilter.filter.(Anon_1),True
version.Version,version.Version,False
find.FindFile.find.(Anon_1),find.FindFile.find.(Anon_1),False
depending.Main,depending.Main,False
standalone.Main,standalone.Main,False
example.Hello,example.Hello,False
size.FileSize,size.FileSize,False
myapp.Main,myapp.Main,False
filter.FilterProvider,filter.FilterProvider,False
sizewhere.Main,sizewhere.Main,False
sizewhere.SizeWhere,sizewhere.SizeWhere,False
example.Hello,example.Hello,False
a,a,False
active,active,False
ant,ant,False
ant-att,ant-att,False
ant-desc,ant-desc,False
b,b,False
block,block,False
block-book,block-book,False
block-forum,block-forum,False
comment,comment,False
comparison,comparison,False
container,container,False
content,content,False
dark,dark,False
deps,deps,False
form-item,form-item,False
form-submit,form-submit,False
form-text,form-text,False
header,header,False
hide,hide,False
item-list,item-list,False
ivy-att,ivy-att,False
ivy-att-desc,ivy-att-desc,False
ivy-attributes,ivy-attributes,False
ivy-children,ivy-children,False
ivy-chld,ivy-chld,False
ivy-chld-desc,ivy-chld-desc,False
light,light,False
links,links,False
new,new,False
pager,pager,False
picture,picture,False
postit,postit,False
primary-links,primary-links,False
product,product,False
resolved,resolved,False
settings,settings,False
shell,shell,False
since,since,False
statistics,statistics,False
submitted,submitted,False
title,title,False
active,active,False
first-letter,first-letter,True
hover,hover,False
link,link,False
visited,visited,True
