dataset,model,recall,f1,g1,acc,tp,fp,tn,fn,precision,auc_roc
ECLIPSE-2007,autogluon,4.161202699,2.819357434,3.061451176,-3.849623959,-0.491194016,-0.954897815,-26.23301016,-5.557885466,0.247065893,-4.388977947
ECLIPSE-2007,autogluon_best,37.13784305,23.9699556,31.70543962,-4.863022085,31.2,85.9528712,-27.39792911,-8.250859609,-13.96131877,-3.962056431
ECLIPSE-2007,autogluon_best_f1,4.490842035,2.720912561,2.861269096,-4.148956278,-0.174825175,-0.633321551,-26.77196228,-6.125527048,0.271520907,-4.381279244
ECLIPSE-2007,autogluon_best_recall,3.875810232,4.825923738,0.246770031,-5.508853783,-0.759685566,-7.52343166,-29.04916975,-8.052835873,5.270830346,-3.706844204
ECLIPSE-2007,KNN,3.966626545,3.273596071,2.95427388,-3.980792674,-0.67264574,-3.346717309,-26.32961706,-5.390985072,1.784722546,-3.023178601
ECLIPSE-2007,LR,4.426582609,3.842728737,3.456704916,-3.563513296,-0.235849057,-3.215607827,-25.95493382,-5.462119991,1.886764206,-4.470111829
ECLIPSE-2007,NB,4.187426904,4.259261731,2.032153026,-4.294592822,-0.462962963,-6.252589979,-27.30213587,-6.714761376,4.126280608,-4.292680503
ECLIPSE-2007,RF,4.53885685,3.670697246,3.403653221,-3.983046257,-0.122991515,-4.937480215,-26.34778986,-5.503015783,2.900533362,-4.567872915
ECLIPSE-2007,SVM,4.674936609,3.702189659,3.995760969,-3.602089892,0,-0.366300366,-25.74250425,-5.124782273,0.23364486,-1.946179521
IND-JLMIV+R-2020,autogluon,-5.960310682,-8.121745975,-6.14981626,-4.514722445,-24.84749911,-2.641624905,-44.4162881,-19.28977098,-10.17123357,-5.601896215
IND-JLMIV+R-2020,autogluon_best,61.24914377,23.32818275,32.27568309,-3.386767778,22.60130269,37.32315187,-44.95382801,-37.7165109,-13.29530484,-3.331310796
IND-JLMIV+R-2020,autogluon_best_f1,1.157060195,-3.921675534,-2.264657183,-4.641801909,-22.95007258,-10.46839687,-44.82332354,-23.7083141,-7.461326456,-5.058005376
IND-JLMIV+R-2020,autogluon_best_recall,-1.244957997,53.30734838,-8.627004063,27.37369143,-24.82550966,-41.61463216,-46.34755462,-7.118734018,61.55097377,-3.723848556
IND-JLMIV+R-2020,KNN,10.15946463,6.002330795,6.681290438,-4.661624082,-13.01319467,-11.45055009,-44.33489601,-25.71252945,-1.846516863,-6.248013388
IND-JLMIV+R-2020,LR,12.44977305,5.240540403,6.664434532,-3.919814552,-16.52818365,-10.06146619,-44.47933839,-26.75546131,-4.967243876,-4.329108663
IND-JLMIV+R-2020,NB,5.491138835,19.55302449,-4.006416678,-5.97206403,-21.48816085,-30.566801,-46.45725855,-23.14586332,22.7015139,-4.949116067
IND-JLMIV+R-2020,RF,-11.86415865,-13.28333327,-10.73902875,-4.607040569,-30.08388217,-0.754780511,-44.68058743,-5.86510003,-12.5591956,-4.930386754
IND-JLMIV+R-2020,SVM,7.451395786,2.581726365,3.623852359,-3.799577537,-17.84858928,-1.097119699,-44.15214301,-25.50890072,-7.950583766,88.56471245
JIRA-HA-2019,autogluon,10.22755832,7.877903388,7.79566222,-4.210837019,-13.06082128,-12.02863939,-42.74538912,-20.5686557,6.385037149,-2.404879418
JIRA-HA-2019,autogluon_best,46.07084121,31.06628056,33.3287319,-3.651856896,10.72593037,59.23615582,-42.93841508,-28.0216496,24.77090241,0.441627444
JIRA-HA-2019,autogluon_best_f1,15.59042827,9.45023263,9.69364895,-4.302016483,-9.418809914,-11.3067553,-43.24416448,-24.59348522,4.156128109,-1.548544266
JIRA-HA-2019,autogluon_best_recall,13.18374906,11.58998021,3.552190423,-6.617169803,-10.65378665,-19.59894265,-45.18225912,-29.14917429,11.55899976,-0.618350801
JIRA-HA-2019,KNN,17.46243201,12.0727037,12.0094367,-5.051195236,-8.150602226,-12.55977157,-43.44993879,-23.32033267,2.682651917,-0.934112203
JIRA-HA-2019,LR,19.78122101,13.3813914,13.94733889,-4.903364567,-6.906318501,-9.480107582,-43.41197294,-23.22477393,4.214820018,-1.511608745
JIRA-HA-2019,NB,16.2843601,13.6888835,7.721988539,-6.42980658,-8.801366613,-20.65644407,-44.57952973,-27.64633393,11.49953545,-1.129870844
JIRA-HA-2019,RF,2.72012504,2.42611836,1.568322522,-4.343466869,-17.69910197,-18.80146098,-42.700458,-18.6140048,11.04674413,-2.849678026
JIRA-HA-2019,SVM,16.38936638,12.4252535,12.67166435,-4.82752771,-7.937347951,-6.823332231,-42.96674667,-22.0821052,-1.231317328,0.446603111
JIRA-RA-2019,autogluon,12.34137097,9.133794629,7.170532011,-7.176464,-4.571998735,-11.86152712,-45.08271582,-17.35931587,4.264939123,-4.235502973
JIRA-RA-2019,autogluon_best,14.39397466,10.42198927,8.527711088,-6.83402299,-3.422099193,-3.209417968,-44.87763008,-17.41529719,4.208490586,-4.709286828
JIRA-RA-2019,autogluon_best_f1,11.82380059,10.23775852,6.008388241,-6.58978497,-4.589683134,-14.02467556,-45.14862637,-18.53065163,8.535877151,-3.400996009
JIRA-RA-2019,autogluon_best_recall,8.034191188,11.15149393,-1.564526569,-9.96213703,-7.222453562,-19.48846459,-48.28532457,-22.53349968,12.71869041,-3.722102729
JIRA-RA-2019,KNN,15.98221949,12.55904926,10.4725502,-6.712270963,-2.0893109,-15.53442519,-44.94764359,-17.76618098,6.37095583,-2.033899386
JIRA-RA-2019,LR,12.64120762,15.01375744,8.93782042,-4.71272673,-4.036978934,-10.36019651,-44.39819216,-16.87739668,11.41630411,-3.041058275
JIRA-RA-2019,NB,8.393352405,13.49653053,0.312860482,-7.128761735,-7.124919231,-22.64175622,-46.95965963,-18.46439063,16.2436705,-4.161672316
JIRA-RA-2019,RF,16.73453708,13.38815666,10.90840559,-6.78157223,-1.094169644,-17.87903336,-44.90084941,-16.90451612,9.642545878,-4.336538932
JIRA-RA-2019,SVM,15.41337573,12.80960334,11.71491832,-6.548178876,-2.236835002,-6.647085061,-44.19760323,-16.16378384,2.180982879,-1.05127239
MA-SZZ-2020,autogluon,0.494707921,-8.709318093,-6.793497767,-6.256108873,-58.50253052,-23.21828803,-75.58035696,-58.88337798,-17.50022697,-12.97325792
MA-SZZ-2020,autogluon_best,-13.51267073,-17.73248969,-15.93541243,-7.259265846,-62.66921047,-14.70317964,-75.99281797,-25.08233905,-19.55405177,-13.82997439
MA-SZZ-2020,autogluon_best_f1,0.5103046,-8.646342505,-9.506143598,-6.251822255,-58.25700511,-41.7483748,-76.2227316,-62.37028534,-14.3580011,-12.82075673
MA-SZZ-2020,autogluon_best_recall,-7.547267124,40.38531968,-26.90025054,34.43689471,-59.65668389,-73.33807371,-79.01974302,-58.85580215,52.08261392,-5.681522689
MA-SZZ-2020,KNN,4.909663217,-5.337982614,-5.293204643,-5.975077922,-56.73992838,-51.02910648,-75.56827891,-63.08742312,-14.95833705,-13.89629531
MA-SZZ-2020,LR,25.62881946,9.973212356,9.825047504,-4.679024965,-51.0455433,-47.34570804,-75.59175271,-66.36659088,-6.449715574,-10.21175025
MA-SZZ-2020,NB,13.76779825,16.52849454,-3.239794019,-7.561432489,-53.5212648,-65.87631178,-76.70895987,-65.40720087,17.26902752,-10.06697876
MA-SZZ-2020,RF,-14.6957511,-18.26619607,-16.41588575,-7.249506208,-63.3671804,-16.03805569,-75.95625695,-18.40573685,-18.99700491,-13.82699276
MA-SZZ-2020,SVM,18.98926117,3.10684486,5.483631768,-4.814187421,-50.80291413,-26.82151053,-75.18632237,-64.56187738,-17.03429728,-9.918684697
Metrics-Repo-2010,autogluon,17.22083357,12.95373192,9.312814959,-0.909651711,-10.25808217,-13.05985585,-39.18729385,-26.66131747,1.440779623,-2.660207994
Metrics-Repo-2010,autogluon_best,12.85758223,9.835715086,2.181679115,-1.625267768,-12.10792885,-15.19499165,-41.24178441,-28.0690175,3.388746486,-0.391655242
Metrics-Repo-2010,autogluon_best_f1,12.59108514,9.246481739,3.357460327,-1.56413009,-12.52854049,-16.70876835,-40.47241878,-27.19927636,3.47792251,-0.180533053
Metrics-Repo-2010,autogluon_best_recall,1.538577589,12.11378487,-8.665853798,5.979217632,-18.53146795,-33.51807705,-34.76344979,-28.33357555,15.72752301,-2.189413385
Metrics-Repo-2010,KNN,13.47526943,12.12138507,8.236263765,-1.376002085,-12.68668938,-25.11531401,-38.11297567,-24.30480705,7.009756348,-0.944121471
Metrics-Repo-2010,LR,12.92893909,10.66658956,7.250269179,-1.583506701,-13.68266579,-12.71352767,-38.79130898,-24.93642441,0.857495822,2.198922862
Metrics-Repo-2010,NB,11.81756247,10.93707367,7.613682647,-1.7305112,-13.73018979,-22.23126343,-37.11005186,-23.41439409,5.194555769,1.080724069
Metrics-Repo-2010,RF,10.74033481,7.854097135,0.134668738,-1.889392721,-13.80208472,-17.60279912,-41.27802336,-27.09057185,6.085487446,-0.614523489
Metrics-Repo-2010,SVM,12.81343224,10.54606358,6.207600154,-0.524109773,-12.41775429,-11.73730816,-38.46508497,-25.81151206,0.574533234,5.561697148
