relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA.,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
flume-ng-tests/src/test/java/org/apache/flume/test/agent/TestFileChannel.java,2.25,3,4.18083298720544,5.62774314992818,1,0.82915619758885,9,21.0,4,4,0,4,4,4,4,1,3,0,93,72,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,1,4,4,9,0,9,0,0.0,NON
flume-ng-core/src/main/java/org/apache/flume/source/http/HTTPSource.java,3.5,8,5.893695272320651,6.1090150810075095,1,2.6925824035672496,14,27.5,13,10,0,4,4,13,4,1,3,6,200,124,1,0,1,0,0,0,4,9,0,1,0,0,1,0.133333333333333,0.0,2,2,0,8,9,7,31,4,27,0,0.0,NON
flume-ng-core/src/main/java/org/apache/flume/source/http/HTTPSourceConfigurationConstants.java,0.0,0,2.85855521187031,0.0,0,0.0,0,0.0,10,10,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,1,0,0,0,0,0.0,NON
flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEvent.java,3.16981132075472,20,5.73107855106892,6.693531068678549,32,4.57118063712542,168,11.3584905660377,18,18,0,53,53,53,53,2,51,36,696,490,0,0,0,0,0,0,53,0,0,0,0,0,0,0.0,0.0,0,0,0,2,14,7,6,0,6,1,0.0014367816091954,NON
flume-ng-sinks/flume-ng-morphline-solr-sink/src/test/java/org/apache/flume/sink/solr/morphline/ResettableTestStringInputStream.java,1.33333333333333,3,3.69593985211544,3.9646831602550097,7,0.666666666666667,12,4.33333333333333,3,3,0,9,9,9,9,0,9,5,52,30,1,0,1,8,8,0,1,0,8,1,0,0,1,0.4166666666666671,0.8888888888888891,0,0,0,0,1,1,0,0,0,0,0.0,NON
flume-ng-core/src/main/java/org/apache/flume/source/AvroSource.java,3.4,10,6.1078816259314905,7.01899807025304,2,2.65329983228432,34,23.6,30,27,1,9,10,17,10,4,6,11,349,219,1,1,1,2,2,0,8,7,2,1,1,1,1,0.3888888888888889,0.117647058823529,3,1,2,10,23,6,87,14,73,1,0.0028653295128939,NON
flume-ng-core/src/test/java/org/apache/flume/channel/MockEvent.java,1.0,1,3.09806851205884,3.21513409416839,6,0.0,6,3.8333333333333295,2,2,0,6,6,6,6,0,6,4,31,20,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,NON
flume-ng-core/src/test/java/org/apache/flume/source/http/FlumeHttpServletRequestWrapper.java,1.0,1,4.58533139372876,4.73577947018311,56,0.0,56,3.03571428571429,2,2,0,56,56,56,56,0,56,18,228,116,0,0,0,0,0,0,56,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0.0,NON
flume-ng-core/src/test/java/org/apache/flume/source/http/TestHTTPSource.java,1.48,6,5.7033174003203095,6.85135443231944,21,1.20399335546339,37,12.8,7,7,3,22,25,25,25,6,19,11,409,303,0,0,0,0,0,0,25,0,0,0,0,0,0,0.0,0.0,0,0,0,17,4,3,64,0,64,0,0.0,NON
flume-ng-sdk/src/main/java/org/apache/flume/api/NettyAvroRpcClient.java,5.33333333333333,24,6.50802937218678,6.97161780895476,4,5.76965240624502,80,27.4,19,16,1,14,15,20,15,9,6,41,553,334,1,0,1,1,1,0,14,5,1,1,0,0,1,0.211111111111111,0.05,4,4,0,7,11,9,107,0,107,0,0.0,NON
flume-ng-embedded-agent/src/main/java/org/apache/flume/agent/embedded/EmbeddedSource.java,1.0,1,3.85216872360328,3.61436944588676,3,0.0,3,2.6666666666666696,3,0,0,3,3,12,3,0,3,3,12,6,1,0,1,0,0,0,3,9,0,1,0,0,1,0.125,0.0,0,0,0,4,0,0,10,2,8,0,0.0,NON
