Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
lucene,org.apache.lucene.search.function.CustomScoreQuery$CustomScorer,7,2,0,9,26,0,1,9,5,0.44444445,174,1.0,5,0.61538464,0.35714287,1,3,23.0,1,0.71428573,0,False
lucene,org.apache.lucene.index.FilterIndexReader$FilterTermEnum,5,2,0,2,10,0,0,2,5,0.0,28,1.0,1,0.5555556,0.6,1,2,4.4,1,0.8,0,False
lucene,org.apache.lucene.search.FieldCache$ShortParser,1,1,0,5,1,0,5,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,False
lucene,org.apache.lucene.index.SegmentInfos$FindSegmentsFile,4,1,5,10,26,2,5,5,3,0.6666667,395,0.0,1,0.0,0.4375,0,0,97.25,1,0.5,0,False
lucene,org.apache.lucene.search.BooleanScorer$BucketTable,3,1,0,4,5,3,2,3,3,1.25,25,0.0,2,0.0,0.6666667,0,0,6.0,1,0.6666667,0,False
lucene,org.apache.lucene.search.FilterManager,5,1,0,5,18,4,4,3,4,0.8214286,112,1.0,2,0.0,0.35,0,0,20.0,2,1.2,1,True
lucene,org.apache.lucene.search.function.ValueSource,6,1,3,8,7,15,6,2,6,2.0,12,0.0,0,0.0,0.44444445,1,1,1.0,1,0.8333333,1,True
lucene,org.apache.lucene.store.BufferedIndexOutput,10,2,1,2,12,17,1,1,8,0.5555556,185,0.75,0,0.6086956,0.36,1,3,17.1,1,0.9,0,False
lucene,org.apache.lucene.store.AlreadyClosedException,1,5,0,4,2,0,4,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0,False
lucene,org.apache.lucene.search.BooleanQuery$BooleanWeight,7,1,0,12,48,0,1,12,7,0.33333334,407,1.0,2,0.0,0.30952382,0,0,56.714287,2,1.0,0,False
lucene,org.apache.lucene.search.MatchAllDocsQuery,6,2,0,7,14,15,3,5,5,2.0,57,0.0,0,0.7058824,0.33333334,2,3,8.5,3,1.1666666,1,True
lucene,org.apache.lucene.index.IndexReader$1,2,2,0,9,12,0,1,9,0,0.0,88,1.0,1,0.6666667,0.6,0,0,42.0,1,0.5,0,False
lucene,org.apache.lucene.index.SegmentMerger$1,2,1,0,3,3,1,1,3,1,1.0,11,1.0,1,0.0,0.6666667,0,0,4.0,1,0.5,0,False
lucene,org.apache.lucene.queryParser.CharStream,12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.5833333,0,0,0.0,1,1.0,2,True
lucene,org.apache.lucene.search.BooleanScorer2,21,2,0,16,58,104,5,15,10,0.65625,511,1.0,3,0.32,0.2375,1,3,22.952381,6,1.6666666,1,True
lucene,org.apache.lucene.index.IndexReader$3,2,2,0,3,5,0,1,2,1,0.0,18,1.0,1,0.6666667,0.6666667,0,0,7.5,1,0.5,0,False
lucene,org.apache.lucene.index.TermVectorsWriter$1,0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,False
lucene,org.apache.lucene.index.SegmentInfo,18,1,0,12,44,0,8,4,4,0.67873305,981,0.46153846,1,0.0,0.24305555,0,0,52.77778,4,1.3333334,3,True
lucene,org.apache.lucene.search.Searchable,11,1,0,18,11,55,6,12,11,2.0,11,0.0,0,0.0,0.26363635,0,0,0.0,1,1.0,2,True
lucene,org.apache.lucene.index.MultiTermEnum,5,2,0,6,20,0,1,5,5,0.5,141,1.0,2,0.5555556,0.4,1,2,26.6,1,0.8,0,False
lucene,org.apache.lucene.search.spans.TermSpans,8,1,0,6,19,0,3,3,8,0.6666667,160,1.0,2,0.0,0.34375,0,0,18.25,3,1.125,0,False
lucene,org.apache.lucene.search.FilterManager$FilterItem,1,1,0,3,4,0,2,2,1,2.0,19,0.33333334,2,0.0,1.0,0,0,15.0,0,0.0,0,False
lucene,org.apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,12,3,10,13,0.625,407,1.0,0,0.42857143,0.15882353,2,4,22.705883,7,2.0588236,2,True
lucene,org.apache.lucene.search.spans.SpanTermQuery,9,3,1,8,27,0,1,7,9,0.0,116,1.0,1,0.6666667,0.25925925,2,2,11.777778,4,1.3333334,0,False
lucene,org.apache.lucene.search.FieldCacheImpl$7,2,2,0,8,17,1,1,8,0,1.0,78,1.0,1,0.6666667,0.625,1,1,37.5,1,0.5,0,False
lucene,org.apache.lucene.search.ExactPhraseScorer,2,3,0,8,9,1,2,6,0,2.0,64,0.0,0,0.95238096,0.5833333,1,1,31.0,1,0.5,0,False
lucene,org.apache.lucene.search.function.IntFieldSource$1,5,2,0,2,12,0,1,2,3,0.375,46,1.0,1,0.75,0.55,1,6,7.8,1,0.8,0,False
lucene,org.apache.lucene.search.BooleanScorer2$2,2,3,0,4,6,0,1,4,1,0.0,39,1.0,1,0.9444444,0.625,2,2,17.0,1,0.5,0,False
lucene,org.apache.lucene.search.SloppyPhraseScorer,4,3,0,9,19,0,3,7,0,0.5555556,326,1.0,1,0.8695652,0.34375,1,1,79.75,4,1.5,1,True
lucene,org.apache.lucene.search.ScoreDocComparator$1,4,1,0,2,6,6,1,2,3,2.0,33,0.0,0,0.0,0.75,0,0,7.25,3,1.25,0,False
lucene,org.apache.lucene.search.DisjunctionMaxScorer,11,2,0,4,25,0,1,3,7,0.625,447,1.0,0,0.44444445,0.28787878,1,3,39.272728,6,1.5454545,1,True
lucene,org.apache.lucene.index.SegmentInfos$2,2,2,0,5,16,1,1,5,0,2.0,68,0.0,0,0.6666667,0.6666667,0,0,33.0,1,0.5,0,False
lucene,org.apache.lucene.search.ComplexExplanation,6,2,0,10,18,9,9,1,5,0.2,65,1.0,0,0.73333335,0.33333334,1,1,9.666667,3,1.1666666,1,True
lucene,org.apache.lucene.index.SegmentReader$Norm,12,1,0,5,22,40,1,5,2,0.8051948,116,1.0,2,0.0,0.19444445,0,0,8.083333,1,0.9166667,0,False
