className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.gjt.sp.jedit.gui.MacrosMenu,6,8,0,10,22,15,1,10,4,2.0,128,0.0,0,0.994206257,0.333333333,1,7,20.33333333,5,2.1667,0,0.0,NON
org.gjt.sp.jedit.options.ModeOptionPane,12,6,0,7,39,28,3,6,1,0.397727273,573,1.0,2,0.983655275,0.5,1,3,45.41666667,2,1.1667,1,0.0017452006980802,NON
org.gjt.sp.jedit.gui.OptionsDialog,14,7,0,28,108,69,3,28,8,0.8692307690000001,732,1.0,2,0.98048048,0.174603175,0,0,50.57142857,9,2.1429,1,0.0027322404371584,NON
org.gjt.sp.jedit.buffer.ExplicitFoldHandler,2,2,0,2,6,1,1,2,2,2.0,85,0.0,0,0.875,0.625,0,0,41.5,5,2.5,0,0.0,IL
org.gjt.sp.jedit.options.GeneralOptionPane,5,6,0,5,28,0,2,4,1,0.708333333,337,1.0,0,0.993993994,0.5,2,4,64.0,3,1.6,1,0.0029673590504451,IL
bsh.reflect.ReflectManagerImpl,2,2,0,1,4,1,0,1,2,2.0,16,0.0,0,0.75,0.75,1,1,7.0,2,1.0,0,0.0,NON
org.gjt.sp.jedit.gui.CurrentDirectoryMenu,2,8,0,11,33,1,3,11,2,2.0,206,0.0,0,0.998835856,0.75,2,4,102.0,16,8.0,0,0.0,NON
org.gjt.sp.jedit.gui.JCheckBoxList,8,5,0,3,33,28,1,2,7,2.0,143,0.0,0,0.992974239,0.5,1,1,16.875,3,1.125,1,0.0069930069930069,IL
org.gjt.sp.jedit.options.ColorOptionPane,8,6,0,5,31,20,2,4,1,0.761904762,119,0.666666667,1,0.991017964,0.5,4,12,13.5,1,0.75,0,0.0,IL
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,7,1,0,6,20,0,1,5,4,0.703703704,347,1.0,1,0.0,0.371428571,0,0,47.28571429,8,3.0,1,0.0028818443804034,NON
org.gjt.sp.jedit.options.StyleEditor,5,7,0,4,50,2,1,3,4,0.611111111,533,1.0,0,0.99391172,0.4,0,0,103.8,7,3.0,0,0.0,NAN
